year,engine,expected wins
1996,ferrari,1.5058823529411764
1996,mercedes,1.5058823529411764
1996,renault,3.011764705882353
1997,ferrari,1.5372340425531916
1997,mercedes,1.5372340425531916
1997,renault,3.0744680851063833
1998,ferrari,1.4670487106017192
1998,mercedes,1.4670487106017192
1998,renault,0.0
1999,ferrari,1.4545454545454546
1999,mercedes,1.4545454545454546
1999,renault,0.0
2000,ferrari,1.5495978552278822
2000,mercedes,1.5495978552278822
2000,renault,0.0
2001,ferrari,1.5454545454545454
2001,mercedes,1.5454545454545454
2001,renault,1.5454545454545454
2002,ferrari,1.5966850828729282
2002,mercedes,1.5966850828729282
2002,renault,1.5966850828729282
2003,ferrari,1.6
2003,mercedes,1.6
2003,renault,1.6
2004,ferrari,1.8
2004,mercedes,1.8
2004,renault,1.8
2005,ferrari,1.9202127659574466
2005,mercedes,1.9202127659574466
2005,renault,1.9202127659574466
2006,ferrari,3.272727272727273
2006,mercedes,1.6363636363636365
2006,renault,1.6363636363636365
2007,ferrari,4.636363636363636
2007,mercedes,1.5454545454545454
2007,renault,3.090909090909091
2008,ferrari,5.282608695652175
2008,mercedes,1.7608695652173914
2008,renault,3.5217391304347827
2009,ferrari,3.4000000000000004
2009,mercedes,5.1
2009,renault,3.4000000000000004
2010,ferrari,3.1666666666666665
2010,mercedes,4.75
2010,renault,3.1666666666666665
2011,ferrari,4.75
2011,mercedes,4.75
2011,renault,4.75
2012,ferrari,5.0
2012,mercedes,5.0
2012,renault,5.0
2013,ferrari,5.181818181818182
2013,mercedes,5.181818181818182
2013,renault,5.181818181818182
2014,ferrari,4.995085995085995
2014,mercedes,5.321867321867321
2014,renault,5.135135135135135
2015,ferrari,3.82010582010582
2015,mercedes,5.73015873015873
2015,renault,3.82010582010582
2016,ferrari,7.636363636363637
2016,mercedes,7.636363636363637
2016,renault,1.9090909090909092
2017,ferrari,6.0
2017,mercedes,6.0
2017,renault,4.0
2018,ferrari,6.3
2018,mercedes,6.3
2018,renault,4.2
2019,ferrari,6.3
2019,mercedes,6.3
2019,renault,4.2
2020,ferrari,5.1
2020,mercedes,5.1
2020,renault,3.4000000000000004
